NUTSID,NUTSName,Year,CDVNVA,VLAAMSBLOOK,VLDVivant,PS,sp.a.spirit,MR,CDH,GROEN,ECOLO,FN,FNB,PVDA,R.W.F.,CDF,PTB,CSP,LSP,PFFMR,MAS,SP,PJUPDB,Electorate,Votes,Validvotes,Invalidvotes
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,2004,66918,66105,65712,138412,33278,151029,59778,22125,56798,21326,5372,937,2211,5409,2980,0,514,0,1407,0,0,849189,729531,700311,29220
BE21,Prov. Antwerpen,2004,291490,300204,206289,0,190000,0,0,92730,0,0,0,8434,0,0,0,0,3305,0,0,0,0,1248472,1138330,1092452,45878
BE22,Prov. Limburg (B),2004,157402,116080,102692,0,120541,0,0,27422,0,0,0,4058,0,0,0,0,1809,0,0,0,0,592986,558924,530004,28920
BE23,Prov. Oost-Vlaanderen,2004,244342,207746,246011,0,159634,0,0,84338,0,0,0,6011,0,0,0,0,3751,0,0,0,0,1073066,996953,951833,45120
BE24,Prov. Vlaams-Brabant,2004,107365,87077,95793,7735,73695,12718,3262,38660,3170,1355,306,2044,194,795,170,0,1426,0,87,0,0,501612,459508,435852,23656
BE25,Prov. West-Vlaanderen,2004,263602,153519,163782,0,139169,0,0,55599,0,0,0,3323,0,0,0,0,3361,0,0,0,0,893145,829811,782355,47456
BE31,Prov. Brabant Wallon,2004,0,0,0,54932,0,84291,33105,0,27476,12545,1379,0,2320,2190,917,0,0,0,354,0,0,255759,230200,219509,10691
BE32,Prov. Hainaut,2004,0,0,0,311732,0,153562,102125,0,56659,78833,10149,0,8751,4529,7016,0,0,0,1659,0,0,890393,796578,735015,61563
BE33,Prov. Liège,2004,0,0,0,227686,0,147213,82020,0,52298,37808,4967,0,5577,3383,6692,0,0,0,1545,0,0,679877,603030,569189,33841
BE34,Prov. Luxembourg,2004,0,0,0,43688,0,45522,37720,0,14249,8170,1675,0,1384,1389,479,0,0,0,209,0,0,184330,169265,154485,14780
BE35,Prov. Namur,2004,0,0,0,94392,0,77087,50743,0,29037,21314,2927,0,2653,2023,1391,0,0,0,414,0,0,336497,304145,281981,22164
BEZZ,Germanophone,2004,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,15722,0,8434,0,5527,3442,46914,41711,37005,4706
BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,2004,66918,66105,65712,138412,33278,151029,59778,22125,56798,21326,5372,937,2211,5409,2980,0,514,0,1407,0,0,849189,729531,700311,29220
BE2,Vlaams Gewest,2004,1064201,864626,814567,7735,683039,12718,3262,298749,3170,1355,306,23870,194,795,170,0,13652,0,87,0,0,4309281,3983526,3792496,191030
BE3,Région Wallonne,2004,0,0,0,732430,0,507675,305713,0,179719,158670,21097,0,20685,13514,16495,0,0,0,4181,0,0,2346856,2103218,1960179,143039
BEZ,Germanophone,2004,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,15722,0,8434,0,5527,3442,46914,41711,37005,4706
BE,Belgium,2004,1131119,930731,880279,878577,716317,671422,368753,320874,243567,181351,26775,24807,23090,19718,19645,15722,14166,8434,5675,5527,3442,7552240,6857986,6489991,367995
