NUTSID,NUTSName,Year,SD,RV,K,SF,JB,KD,FmEU,DF,V,Electorate,Votes,Validvotes,Totalinvalidvotes
DK001,København og Fredriksberg kommuner,2004,64372,27004,19801,31648,20051,1643,19874,11380,20678,446336,219449,216451,2998
DK002,Københavns amt,2004,70276,15559,35099,19553,19797,1513,15020,17935,32311,447305,229917,227063,2854
DK003,Fredriksborg amt,2004,39026,9995,23665,11841,12459,1239,8310,9990,24228,271889,142573,140753,1820
DK004,Roskilde amt,2004,28155,4787,13006,6520,7369,596,4672,7246,15596,174683,89118,87947,1171
DK005,Vestsjællands amt,2004,33425,6429,10532,7560,9452,741,4932,8218,19731,227163,102523,101020,1503
DK006,Storstrøms amt,2004,37173,4279,10737,6604,8372,508,4685,6861,17620,201159,98523,96839,1684
DK007,Bornholms amt,2004,6169,607,851,713,1419,735,881,1004,3473,33488,16307,15852,455
DK008,Fyns amt,2004,56809,9307,23075,13709,15102,1043,7392,10526,29057,357772,168569,166020,2549
DK009,Sønderjyllands amt,2004,29921,2986,8639,3821,7543,1337,2780,6334,21670,186863,86363,85031,1332
DK00A,Ribe amt,2004,29542,2494,5983,3215,6111,1187,2671,4690,19225,165218,76221,75118,1103
DK00B,Vejle amt,2004,41391,5691,11593,6662,11475,2016,3529,9127,28953,263415,122309,120437,1872
DK00C,Ringkøbing amt,2004,29471,3961,8472,3919,6018,5201,2814,5697,29451,201943,96413,95004,1409
DK00D,Århus amt,2004,74491,16272,22862,21598,23254,2711,10963,14250,41303,486957,230974,227704,3270
DK00E,Viborg amt,2004,24513,3812,6659,4058,5710,1466,2948,5154,22576,174686,78087,76896,1191
DK00F,Nordjyllands amt,2004,53678,7290,13998,9345,17795,2350,6515,10377,40863,373786,164195,162211,1984
DK00,Danmark,2004,618412,120473,214972,150766,171927,24286,97986,128789,366735,4012663,1921541,1894346,27195
DK0,DANMARK ,2004,618412,120473,214972,150766,171927,24286,97986,128789,366735,4012663,1921541,1894346,27195
DK,DANMARK ,2004,618412,120473,214972,150766,171927,24286,97986,128789,366735,4012663,1921541,1894346,27195
