NUTSID,NUTSName,EKD,EP,Hel,IRL,KESK,Kle,LIB,ig,PK,REF,RL,ROH,SDE,Tar,VEE,ur,Aas,Electorate,Votes,Validvotes,Invalidvotes
EE001,Pıhja-Eesti,561,1439,3825,18770,49686,3909,1035,111,140,20494,1014,3502,9748,32053,508,294,123,344572,180952,,
EE004,L‰‰ne-Eesti,304,130,1557,4434,7016,156,254,30,89,6639,1002,1138,3839,13433,85,21,27,128003,46796,,
EE006,Kesk-Eesti,154,69,1004,3990,6046,92,150,30,67,5862,1273,969,3165,11179,43,27,28,106248,39534,,
EE007,Kirde-Eesti,118,1201,237,1028,18593,1760,30,12,35,1835,405,366,814,2371,300,142,18,68454,31588,,
EE008,Lıuna-Eesti,380,506,2087,9676,15698,442,583,65,213,14167,4378,2884,10774,24436,192,56,52,262049,100311,,
EEZZZ,Abroad,21,5,17,481,79,5,17,2,8,121,19,47,81,83,11,3,0,,1000,,
EEEEE,E-votes,177,169,1105,10113,6388,773,137,42,60,11759,769,1945,6087,18905,128,42,15,,58614,,
EE00,Estonia,1715,3519,9832,48492,103506,7137,2206,292,612,60877,8860,10851,34508,102460,1267,585,263,909326,399181,396982,2199
EE0,ESTONIA,1715,3519,9832,48492,103506,7137,2206,292,612,60877,8860,10851,34508,102460,1267,585,263,909326,399181,396982,2199
EE,ESTONIA,1715,3519,9832,48492,103506,7137,2206,292,612,60877,8860,10851,34508,102460,1267,585,263,909326,399181,396982,2199
