NUTSID,NUTSName,Year,SDP,Kesk,Kok,VL,Vihr,SFPRKP,KD,Perus,EKA,SKP,Lib,SKS,SIK,KA,Electorate,Votes,Validvotes,Invalidvotes
FI131,Etelä-Savo,2004,12166,16560,8170,2388,2795,91,2567,259,113,193,64,51,55,157,133055,45975,45629,346
FI132,Pohjois-Savo,2004,14891,28160,8381,6038,4881,111,4475,374,111,476,83,126,33,206,203410,68731,68346,385
FI133,Pohjois-Karjala,2004,15716,14122,5653,2157,2700,57,1787,236,73,309,50,50,44,143,135899,43348,43097,251
FI134,Kainuu,2004,1957,9604,2405,5521,822,23,795,175,26,140,23,31,23,73,70528,21755,21618,137
FI181,Uusimaa,2004,106954,46191,154091,41898,83626,34588,15503,3190,836,3039,1643,671,544,2212,1070246,497549,494986,2563
FI182,Itä-Uusimaa,2004,5823,3745,5706,1703,2925,9670,699,95,38,127,52,45,43,95,72231,30923,30766,157
FI183,Varsinais-Suomi,2004,28743,26483,43218,15277,16729,7928,4553,547,242,831,253,902,122,429,366488,147144,146257,887
FI184,Kanta-Häme,2004,14500,11064,15366,4333,3931,168,2059,224,242,336,80,87,105,174,133405,53111,52669,442
FI185,Päijät-Häme,2004,14615,11113,18184,5095,4795,201,3767,255,140,427,112,89,176,223,161233,59557,59192,365
FI186,Kymenlaakso,2004,19378,11725,11482,3197,3685,402,1793,225,108,308,107,78,169,161,152707,53288,52818,470
FI187,Etelä-Karjala,2004,11359,11041,8361,1574,2627,71,2122,178,125,243,71,54,59,132,111756,38265,38017,248
FI193,Keski-Suomi,2004,17219,23734,14057,7896,7415,182,4358,326,199,671,134,124,81,269,215338,77188,76665,523
FI194,Etelä-Pohjanmaa,2004,6149,38516,11123,2493,1543,100,3032,793,96,146,48,162,35,145,156825,64683,64381,302
FI195,Pohjanmaa,2004,6383,6841,5645,3134,2232,33290,5403,171,41,108,67,145,26,105,147921,64014,63591,423
FI196,Satakunta,2004,20108,18082,14711,9404,3460,260,2920,413,128,307,95,135,64,208,192271,70700,70295,405
FI197,Pirkanmaa,2004,31712,24249,38838,18205,18382,641,7012,655,496,1501,250,250,150,428,371138,143658,142769,889
FI1A1,Keski-Pohjanmaa,2004,2278,9468,1967,1215,668,1583,3571,138,28,92,19,35,18,49,57410,21285,21129,156
FI1A2,Pohjois-Pohjanmaa,2004,11428,48328,17856,11715,6905,177,3603,499,134,585,196,131,75,310,290950,102488,101942,546
FI1A3,Lappi,2004,7907,28063,7342,8004,2566,64,790,142,100,291,195,81,39,165,160733,56130,55749,381
FI200,Åland,2004,1239,128,215,44,157,4814,36,5,3,4,16,1,3,3,24443,7140,6668,472
FI13,Itä-Suomi,2004,44730,68446,24609,16104,11198,282,9624,1044,323,1118,220,258,155,579,542892,179809,178690,1119
FI18,Etelä-Suomi,2004,201372,121362,256408,73077,118318,53028,30496,4714,1731,5311,2318,1926,1218,3426,2068066,879837,874705,5132
FI19,Länsi-Suomi,2004,81571,111422,84374,41132,33032,34473,22725,2358,960,2733,594,816,356,1155,1083493,420243,417701,2542
FI1A,Pohjois-Suomi,2004,21613,85859,27165,20934,10139,1824,7964,779,262,968,410,247,132,524,509093,179903,178820,1083
FI20,Åland,2004,1239,128,215,44,157,4814,36,5,3,4,16,1,3,3,24443,7140,6668,472
FI1,Manner-Suomi,2004,349286,387089,392556,151247,172687,89607,70809,8895,3276,10130,3542,3247,1861,5684,4203544,1659792,1649916,9876
FI2,Åland,2004,1239,128,215,44,157,4814,36,5,3,4,16,1,3,3,24443,7140,6668,472
FI,FINLAND ,2004,350525,387217,392771,151291,172844,94421,70845,8900,3279,10134,3558,3248,1864,5687,4227987,1666932,1656584,10348
