"","country_year","nation","year","gen.EUS","inst.EUS"
"1","11_04",11,2004,24.5951417004049,27.0242914979757
"2","11_09",11,2009,17.8109452736318,24.1791044776119
"3","11_95",11,1995,45.8638743455497,25.130890052356
"4","11_99",11,1999,35.2692713833157,29.039070749736
"5","13_04",13,2004,14.1865079365079,22.718253968254
"6","13_09",13,2009,13.5135135135135,19.6196196196196
"7","13_79",13,1979,27.3584905660377,30.293501048218
"8","13_84",13,1984,33.1096196868009,33.1096196868009
"9","13_89",13,1989,24.2105263157895,30.3157894736842
"10","13_94",13,1994,18.5714285714286,27.0408163265306
"11","13_99",13,1999,23.9130434782609,22.8778467908903
"12","14_04",14,2004,16.6834170854271,36.9849246231156
"13","14_09",14,2009,18.5370741482966,32.064128256513
"14","14_96",14,1996,25.7023933402706,34.7554630593132
"15","14_99",14,1999,20.1535508637236,32.2456813819578
"16","21_04",21,2004,6.70794633642931,21.155830753354
"17","21_09",21,2009,10.12909632572,21.9463753723932
"18","21_79",21,1979,2.9171528588098,23.1038506417736
"19","21_84",21,1984,27.3615635179153,7.27470141150923
"20","21_89",21,1989,3.40063761955367,18.8097768331562
"21","21_94",21,1994,31.6602316602317,10.5212355212355
"22","21_99",21,1999,8.58638743455497,38.4293193717278
"23","22_04",22,2004,9.19080919080919,15.7842157842158
"24","22_09",22,2009,6.60835762876579,14.0913508260447
"25","22_79",22,1979,2.03665987780041,11.6089613034623
"26","22_84",22,1984,14.1538461538462,3.07692307692308
"27","22_89",22,1989,2.30692076228686,11.3340020060181
"28","22_94",22,1994,16.8346774193548,5.34274193548387
"29","22_99",22,1999,5.48086866597725,17.9937952430196
"30","23_04",23,2004,4.61847389558233,10.0401606425703
"31","23_09",23,2009,8.06451612903226,14.7177419354839
"32","23_79",23,1979,3.07167235494881,12.2866894197952
"33","23_84",23,1984,14.4329896907216,2.74914089347079
"34","23_89",23,1989,4.71380471380471,16.4983164983165
"35","23_94",23,1994,16.8316831683168,7.42574257425743
"36","23_99",23,1999,3.79310344827586,16.8965517241379
"37","31_04",31,2004,14.456630109671,28.6141575274177
"38","31_09",31,2009,18.9568706118355,27.8836509528586
"39","31_79",31,1979,8.67237687366167,30.2997858672377
"40","31_84",31,1984,28.7846481876333,4.90405117270789
"41","31_89",31,1989,5.76725025746653,23.9958805355304
"42","31_94",31,1994,34.2799188640974,13.0831643002028
"43","31_99",31,1999,14.410480349345,34.1703056768559
"44","32_04",32,2004,13.9418254764293,26.7803410230692
"45","32_09",32,2009,20.4408817635271,33.9679358717435
"46","32_79",32,1979,2.7124773960217,14.4665461121157
"47","32_84",32,1984,21.2182741116751,3.75634517766497
"48","32_89",32,1989,1.64609053497942,15.0205761316872
"49","32_94",32,1994,20.1015228426396,5.88832487309645
"50","32_99",32,1999,5.56186152099886,23.7230419977299
"51","33_04",33,2004,7.42268041237113,17.7319587628866
"52","33_09",33,2009,10.7790821771612,21.3447171824973
"53","33_89",33,1989,4.90307867730901,12.884834663626
"54","33_94",33,1994,32.0675105485232,15.295358649789
"55","33_99",33,1999,4.93537015276146,30.7873090481786
"56","34_04",34,2004,8.16326530612245,29.2857142857143
"57","34_09",34,2009,14.859437751004,40.863453815261
"58","34_79",34,1979,33.2167832167832,34.2657342657343
"59","34_84",34,1984,38.9254385964912,19.6271929824561
"60","34_89",34,1989,6.36663007683864,19.648737650933
"61","34_94",34,1994,21.3829787234043,9.46808510638298
"62","34_99",34,1999,12.4868835257083,30.1154249737671
"63","35_04",35,2004,10.2285092491839,28.5092491838955
"64","35_09",35,2009,23.6994219653179,24.0462427745665
"65","35_89",35,1989,3.30672748004561,16.6476624857469
"66","35_94",35,1994,32.3408624229979,13.1416837782341
"67","35_99",35,1999,6.01851851851852,27.8935185185185
"68","36_04",36,2004,14.9377593360996,31.1203319502075
"69","36_09",36,2009,18.7250996015936,27.2908366533865
"70","37_04",37,2004,18.3585313174946,33.9092872570194
"71","37_09",37,2009,18.5263157894737,30.3157894736842
"72","41_04",41,2004,11.4700065919578,27.8180619644034
"73","41_09",41,2009,11.2175102599179,26.6757865937073
"74","41_79",41,1979,5.25164113785558,22.6477024070022
"75","41_84",41,1984,34.9492671927847,5.97519729425028
"76","41_89",41,1989,9.16666666666667,30.3125
"77","41_94",41,1994,37.9088206144698,11.0505450941526
"78","41_99",41,1999,11.6817155756208,40.8013544018059
"79","42_04",42,2004,19.7745901639344,38.8319672131148
"80","42_09",42,2009,22.8125,34.2708333333333
"81","42_96",42,1996,28.7628865979381,41.5463917525773
"82","42_99",42,1999,25.1942286348502,34.4062153163152
"83","51_04",51,2004,21.6965742251224,35.8890701468189
"84","51_09",51,2009,35.1485148514851,34.0759075907591
"85","51_79",51,1979,37.5264270613108,27.906976744186
"86","51_84",51,1984,35.1351351351351,29.3322734499205
"87","51_89",51,1989,18.8851913477537,28.1198003327787
"88","51_94",51,1994,31.2249799839872,20.1761409127302
"89","51_99",51,1999,23.0121608980355,31.4312441534144
"90","53_04",53,2004,4.55508474576271,14.6186440677966
"91","53_09",53,2009,8.74730021598272,16.1987041036717
"92","53_79",53,1979,15.3340635268346,25.7393209200438
"93","53_84",53,1984,29.4623655913978,24.4086021505376
"94","53_89",53,1989,5.65635005336179,13.3404482390608
"95","53_94",53,1994,17.0923379174853,6.58153241650295
"96","53_99",53,1999,3.30490405117271,12.7931769722815
"97","80_04",80,2004,NA,NA
"98","80_09",80,2009,11.0396570203644,47.0525187566988
"99","82_04",82,2004,9.19651500484027,46.1761858664085
"100","82_09",82,2009,13.3009708737864,42.9126213592233
"101","83_04",83,2004,9.80392156862745,37.6676986584107
"102","83_09",83,2009,7.10607621009269,31.7198764160659
"103","86_04",86,2004,10.740354535975,38.3733055265902
"104","86_09",86,2009,23.4279918864097,42.7991886409736
"105","87_04",87,2004,15.6441717791411,43.6605316973415
"106","87_09",87,2009,26.8672199170124,50.103734439834
"107","88_04",88,2004,6.41821946169772,22.9813664596273
"108","88_09",88,2009,13.6268343815514,28.5115303983228
"109","92_04",92,2004,8.27147401908802,39.5546129374337
"110","92_09",92,2009,8.83919062832801,30.8839190628328
"111","93_04",93,2004,NA,NA
"112","93_09",93,2009,6.49746192893401,22.5380710659898
"113","96_04",96,2004,3.99666944213156,40.7160699417152
"114","96_09",96,2009,4.62311557788945,30.1507537688442
"115","97_04",97,2004,5.23560209424084,39.5811518324607
"116","97_09",97,2009,9.50950950950951,34.3343343343343
